Card ID,Card Name,Card Type,Category,Percentage Back,Category Rewards Spend Limit,Max benefit from rewards,Price (annually),FTF,Signup Bonus,Spend Requirement,Time Period (mo),Caveat,Other Benefits
12,Discover IT,Discover,Amazon,5%,$1500/quarter,$75/quarter,Free,0%,$0 ,$0 ,,Rotating,
12,Discover IT,Discover,Groceries,5%,$1500/quarter,$75/quarter,Free,0%,$0 ,$0 ,,Double Cash back first year,
12,Discover IT,Discover,Gas,5%,$1500/quarter,$75/quarter,Free,0%,$0 ,$0 ,,,
12,Discover IT,Discover,Wholesale,5%,$1500/quarter,$75/quarter,Free,0%,$0 ,$0 ,,,
12,Discover IT,Discover,Restaurants,5%,$1500/quarter,$75/quarter,Free,0%,$0 ,$0 ,,,
13,Ducks Unlimited,Visa,Gas,5%,Limitless,Limitless,Free,3%,$0 ,$0 ,,,
13,Ducks Unlimited,Visa,Sporting Goods,5%,Limitless,Limitless,Free,3%,$0 ,$0 ,,,
14,PNC Cash Rewards Visa,Visa,Gas,4%,$8000/year,Limitless,Free,3%,$100 ,"$1,000 ",3,,
14,PNC Cash Rewards Visa,Visa,Dining,3%,$8000/year,Limitless,Free,3%,$100 ,"$1,000 ",3,,
14,PNC Cash Rewards Visa,Visa,Groceries,2%,$8000/year,Limitless,Free,3%,$100 ,"$1,000 ",3,,
15,Goldman Sachs Apple Card,Mastercard,Apple,3%,Limitless,Limitless,Free,0%,,,,,
16,Sams's Club Credit Card,Mastercard,Dining,3%,Limitless,Limitless,Free,0%,$45 ,$45 ,0,Requires Sam's Club Membership,
16,Sams's Club Credit Card,Mastercard,Travel,3%,Limitless,Limitless,Free,0%,$45 ,$45 ,,>$45 at Sam's on day of opening card,
16,Sams's Club Credit Card,Mastercard,Gas,5%,$6000/year,$300/year,Free,0%,$45 ,$45 ,,,
17,Chase Freedom Unlimited,Visa,Rotating categories,5%,$1500/quarter,$75/quarter,Free,3%,$150 ,$500 ,3,Good if wanting CSR or CSP in future,
